"","group.label"
"197","S_Masai-1.DG"
"198","S_Papuan-7.DG"
"199","S_She-2.DG"
"200","S_BantuTswana-2.DG"
"201","S_Eskimo_Naukan-1.DG"
"202","S_Yemenite_Jew-1.DG"
"203","S_Hawaiian-1.DG"
"204","T_Bakola-2.DG"
"205","S_Luo-1.DG"
"206","S_Turkish-2.DG"
"207","T_Fulani-1.DG"
"208","S_Turkish-1.DG"
"209","S_Punjabi-3.DG"
"210","S_Esan-2.DG"
"211","S_Spanish-2.DG"
"212","T_Ngumba-1.DG"
"213","T_Rendille-1.DG"
"214","T_Iraqw-2.DG"
"215","S_Iranian-2.DG"
"216","S_Papuan-8.DG"
"217","S_Lemande-1.DG"
"218","S_Aleut-1.DG"
"219","S_Lemande-2.DG"
"220","S_BantuKenya-1.DG"
"221","S_Zapotec-2.DG"
"222","S_Greek-2.DG"
"223","S_Khomani_San-1.DG"
"224","S_North_Ossetian-1.DG"
"225","S_Mixe-2.DG"
"226","S_Jordanian-1.DG"
"227","S_Yemenite_Jew-2.DG"
"228","T_Tibetan-1.DG"
"229","S_Orcadian-1.DG"
"230","S_Miao-1.DG"
"231","S_Mixtec-2.DG"
"232","S_Basque-1.DG"
"233","S_Balochi-2.DG"
"234","S_Makrani-1.DG"
"235","S_Japanese-1.DG"
"236","S_Han-2.DG"
"237","S_Punjabi-1.DG"
"238","S_Palestinian-1.DG"
"239","S_Maori-1.DG"
"240","S_Norwegian-1.DG"
"241","S_Ulchi-2.DG"
"242","S_Mende-1.DG"
"243","S_Gambian-1.DG"
"244","S_Saharawi-1.DG"
"245","S_Kyrgyz-2.DG"
"246","S_Cree-1.DG"
"247","S_Georgian-2.DG"
"248","S_Nahua-2.DG"
"249","S_Surui-1.DG"
"250","S_Papuan-3.DG"
"251","S_Ju_hoan_North-3.DG"
"252","BR_Kashmiri_Pandit-1.DG"
"253","S_Tu-2.DG"
"254","S_Sardinian-2.DG"
"255","S_Pathan-2.DG"
"256","S_Zapotec-1.DG"
"257","S_Chechen-1.DG"
"258","S_Abkhasian-2.DG"
"259","S_Xibo-1.DG"
"260","S_Somali-1.DG"
"261","S_Icelandic-1.DG"
"262","S_Gambian-2.DG"
"263","S_Mende-2.DG"
"264","S_Ulchi-1.DG"
"265","S_Saami-1.DG"
"266","S_Madiga-2.DG"
"267","S_Tubalar-1.DG"
"268","S_English-2.DG"
"269","S_Luhya-1.DG"
"270","S_Saami-2.DG"
"271","S_Dai-1.DG"
"272","S_Samaritan-1.DG"
"273","S_Palestinian-2.DG"
"274","S_Mozabite-1.DG"
"275","S_Mayan-1.DG"
"276","S_Karitiana-1.DG"
"277","S_Hezhen-1.DG"
"278","S_Druze-2.DG"
"279","S_Cambodian-1.DG"
"280","S_Biaka-1.DG"
"281","S_Hungarian-2.DG"
"282","T_Mada-2.DG"
"283","S_Kapu-2.DG"
"284","S_Bulgarian-1.DG"
"285","S_Burmese-1.DG"
"286","S_Tlingit-1.DG"
"287","S_BantuHerero-1.DG"
"288","S_Lahu-2.DG"
"289","S_Pima-1.DG"
"290","T_Iraqw-1.DG"
"291","T_Rendille-2.DG"
"292","T_Ngumba-2.DG"
