"","group","subregion","individuals","mean.ycoord","mean.xcoord","pnpla3","reference","scale"
"1",1,"North Africa",31,29.65,-2.95,0.225806451612903,0.774193548387097,3
"2",2,"South Africa",25,-23.937451378,23.115489528,0.14,0.86,3
"3",3,"Central Africa",61,3.68071172857625,19.0107746165655,0.0655737704918033,0.934426229508197,4
"4",4,"West Africa",240,9.54356809957627,11.2403787902542,0.127083333333333,0.872916666666667,5
"5",5,"East Africa",145,3.38217866208236,34.2438909793072,0.106896551724138,0.893103448275862,5
"6",6,"West Africa",226,11.3221433198068,-13.3689516908213,0.123893805309734,0.876106194690266,5
