"","group","countries","individuals","date","pnpla3"
"1",5,"Belize",1,9282,0
"2",7,"USA",4,10970,1
"3",1,"Argentina, Brazil, Chile",13,9384,0.9231
"4",4,"Peru",2,8815,1
