"","group","subregion","individuals","mean.ycoord","mean.xcoord","date","pnpla3","reference","scale"
"1",1,"North Africa",2,32,-5,6259.5,0.5,0.5,2
"2",3,"Central Africa",3,5.8586,10.0778,3096.66666666667,0,1,2
"3",5,"East Africa",6,0.812471,36.3678229244444,3738.11111111111,0.5,0.5,2
