"","group","countries","individuals","date","pnpla3"
"1",1,"Kazakhstan, Kyrgyzstan, Turkmenistan",112,2220,0.3393
"2",2,"China, Japan, Mongolia, Taiwan",202,1942,0.3861
"3",4,"Russia",71,1485,0.4507
"4",5,"India, Nepal",26,1238,0.2308
"5",6,"Iran, Pakistan",101,2110,0.1386
"6",8,"Laos, Malaysia, Thailand, Vietnam",5,2009,0
"7",9,"Israel, Lebanon, Turkey",25,1695,0.32
