"","group","subregion","individuals","mean.ycoord","mean.xcoord","date","pnpla3","reference","scale"
"1",1,"North Africa",5,34.807812,-2.410889,14503,0.8,0.2,2
"2",2,"South Africa",1,-11.659928,33.641921,8903,1,0,2
"3",3,"Central Africa",5,5.8586,10.0778,7904,0.3,0.7,2
