"","group","countries","individuals","date","pnpla3"
"1",1,"Kazakhstan, Kyrgyzstan, Tajikistan, Turkmenistan, Uzbekistan",134,4017,0.2015
"2",2,"China, Japan, Mongolia, Taiwan",96,3914,0.5312
"3",4,"Russia",235,4502,0.3234
"4",6,"Iran, Pakistan",22,4055,0.1364
"5",8,"Laos, Vietnam",3,4858,0
"6",9,"Armenia, Azerbaijan, Israel, Jordan, Lebanon, Syria, Turkey",127,4443,0.2598
