"","group","countries","individuals","date","pnpla3"
"1",9,"Cuba",4,3150,0.75
"2",10,"Dominican Republic",1,3048,1
"3",3,"Canada",2,5257,0.5
"4",7,"USA",1,5360,1
"5",11,"Greenland",1,3885,0
"6",1,"Argentina, Brazil, Chile",6,5846,0.6667
"7",4,"Peru",6,4143,1
