"","group","countries","individuals","date","pnpla3"
"1",9,"Ukraine",14,7953,0.1429
"2",2,"Austria, Croatia, Germany, Hungary, Luxembourg, Switzerland",63,8530,0.2857
"3",3,"Latvia, Lithuania",20,7712,0.05
"4",7,"United Kingdom",9,10198,0.3333
"5",8,"Norway, Sweden",7,8614,0
"6",1,"Bulgaria, Greece, North Macedonia, Romania, Serbia",53,8052,0.1887
"7",6,"Italy",10,9068,0.2
"8",4,"France, Spain",20,7528,0.35
