"","group","countries","individuals","date","pnpla3"
"1",9,"Ukraine",10,5275,0.2
"2",2,"Austria, Croatia, Czech Republic, Germany, Hungary, Netherlands, Poland, Switzerland",601,5034,0.223
"3",3,"Estonia, Latvia, Lithuania",22,5309,0.0909
"4",7,"Ireland, United Kingdom",194,4986,0.2371
"5",8,"Denmark, Norway, Sweden",37,4417,0.1622
"6",1,"Bulgaria, Greece, Romania, Serbia",58,5112,0.3276
"7",6,"Italy",73,4163,0.3562
"8",4,"France, Gibraltar, Portugal, Spain",172,5120,0.2849
